stage,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us,kernelName,err,tflops,bw
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,224.6267,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb4_bnt0_go_fp4,100.0%,229.45,7173.68
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,354.7595,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb4_bnt0_go_xcd4_fp4,100.0%,145.28,4542.23
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,157.8895,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb4_fp4,100.0%,326.43,10205.87
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,229.2811,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb4_xcd4_fp4,100.0%,224.79,7028.05
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,222.7617,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb4_go_fp4,100.0%,231.37,7233.74
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,348.9641,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb4_go_xcd4_fp4,100.0%,147.69,4617.66
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,-1.0,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb7_bnt0_fp4,100.0%,0.0,0.0
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,-1.0,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb7_bnt0_xcd4_fp4,100.0%,0.0,0.0
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,-1.0,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb7_bnt0_go_fp4,100.0%,0.0,0.0
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,-1.0,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb7_bnt0_go_xcd4_fp4,100.0%,0.0,0.0
